画面名,ID,ID 1,URL,カテゴリ,ステータス,リリース,リリースタイミング,主なUI要素,備考,最終更新日時,最終更新日時 1,最終更新者,最終更新者 1,機能概要,用途,遷移元,遷移先
ログイン,1,,/login,認証,"バックレビュー完了, フロントレビュー完了, 記載完了",,Β版,"Email, Password, Loginボタン, ForgotLink",未認証ユーザーのみアクセス可,2026年3月16日 2:06,,ko-kikuchi,,登録済みユーザーがログインする,page,/signup または外部リンク,/workspace/[wsId]
新規登録,2,,/signup,認証,"バックレビュー完了, フロントレビュー完了, 記載完了",,検討,"Name, Email, Password, AgreeToTerms",Stripeプラン誘導あり,2026年3月11日 21:54,,ko-kikuchi,,"新規ユーザー登録と初期プラン選択
登録数制限をしたい。",page,/login,/verify
メール確認/アカウント登録認証,3,,/verify,認証,"バックレビュー完了, フロントレビュー完了, 記載完了",,検討,表示メッセージ（成功/失敗）,token必須,2026年3月11日 21:54,,ko-kikuchi,,"登録メールの認証リンクを検証
失敗時の再送ボタン",page,/signup,/workspace/[wsId]
ログアウト,4,,/logout,認証,"バックレビュー完了, フロントレビュー完了, 記載完了",,Β版,なし（処理のみ）,POST /api/auth/logout 実行,2026年3月16日 2:06,,ko-kikuchi,,セッションを破棄しログイン画面へ遷移,page,グローバルヘッダー,/login
再設定リクエスト,5,,/forgot-password,パスワード再設定,"バックレビュー完了, フロントレビュー完了, 修正中",,Β版,"Email, Submitボタン",成功時メッセージ表示,2026年3月16日 2:06,,ko-kikuchi,,メール入力→再設定リンク送信,page,/login,/reset-password/sent
" - メール送信完了（未ログイン）",6,,/forgot-password,パスワード再設定,"バックレビュー完了, フロントレビュー完了, 記載完了",,Β版,"成功メッセージ, 「戻る」リンク",自動遷移でも可,2026年3月16日 2:06,,ko-kikuchi,,再設定メール送信完了メッセージ,modal,/reset-password,/login
新パスワード設定,7,,/reset-password/[token],パスワード再設定,"バックレビュー完了, フロントレビュー完了, 記載完了",,Β版,"Password, Confirm, Submit",token検証（24h有効）,2026年3月16日 2:06,,ko-kikuchi,,新しいパスワードの登録,page,メールリンク,/reset-password/success
パスワード変更完了（ログイン済み）,8,," - /reset-password",パスワード再設定,"バックレビュー完了, フロントレビュー完了, 記載完了",,Β版,"成功メッセージ, ログインリンク",3秒後自動遷移など,2026年3月16日 2:06,,ko-kikuchi,,パスワード再設定完了を通知,modal,/reset-password/[token],/login
アカウント設定,9,,/account,アカウント,"バックレビュー完了, フロントレビュー完了, 記載完了",,フェーズ１,名前、メール、会社名、保存ボタン、各設定リンク,編集と閲覧を統合した一体型UI,2026年3月11日 21:51,,ko-kikuchi,,名前・メール・会社名などの基本情報を表示・編集。通知設定・請求情報・連携への導線を含むメイン画面。,page,ヘッダー（ユーザーメニュー）,/account/security 等
セキュリティ設定,10,,/account/security,アカウント,"バックレビュー完了, フロントレビュー完了, 記載完了",,フェーズ１,「パスワードを変更する」ボタン、完了メッセージ,変更はメール経由で実施。将来的に2FAや履歴追加可,2026年3月11日 21:51,,ko-kikuchi,,パスワード変更をリクエストする。ボタン押下で登録メール宛に再設定リンクを送信。,page,/account,/reset-password/[token]
通知設定,11,,/account/notification,アカウント,"バックレビュー完了, フロントレビュー完了, 記載完了",,フェーズ１,通知ON/OFFトグル、Slack Webhook連携ボタン、保存ボタン,Seed期はメールとSlack通知のみ対応,2026年3月11日 21:51,,ko-kikuchi,,メール通知・Slack通知のON/OFFを設定する。,page,/account,/account
請求情報,12,,/account/billing,アカウント,"バックレビュー完了, フロントレビュー完了, 記載完了",,フェーズ１,現在プラン、更新日、支払い履歴、プラン変更ボタン,/plan画面と同一コンポーネントで実装可,2026年3月11日 21:51,,ko-kikuchi,,Stripe課金情報・支払い履歴を表示。プラン変更画面への導線を含む。,page,/account,/plan
決済情報セットアップ,13,,/billing/setup,アカウント,"バックレビュー完了, 記載完了",,検討,カード入力フォーム（Stripe Elements）、会社名、プラン選択、登録ボタン,Stripe Checkout / PaymentElement利用。カード登録成功時のみ完了。,2026年3月16日 2:40,,ko-kikuchi,,"初回アカウント登録時にクレジットカード情報を登録する。
成功すると登録完了および初期ワークスペースが作成される。
決済情報変更時もこちらの画面を利用する",page,/verify,"/workspace/[wsId]
または
/account/billing"
外部連携設定,14,,/account/integration,アカウント,"バックレビュー完了, 記載完了",,検討,Slack連携ボタン、GitHub連携ボタン、削除ボタン,Freee削除済。Webhook連携中心に設計,2026年3月11日 21:52,,ko-kikuchi,,Slack・GitHubなどの連携状態を管理する。,page,/account,/account
アカウント削除,15,,/account/delete,アカウント,,,検討,警告メッセージ、パスワード入力、削除ボタン,Stripe契約中は削除不可。CS確認要,2026年3月11日 21:52,,ko-kikuchi,,アカウント削除を申請し、確認モーダルで最終確認を行う。,page,/account/security,/goodbye
退会完了,16,,/goodbye,アカウント,,,検討,完了メッセージ、「TOPへ戻る」ボタン,セッション破棄・Cookie削除後に表示,2026年3月11日 21:52,,ko-kikuchi,,アカウント削除完了を通知し、トップページへの遷移を案内。,page,/account/delete,/
ワークスペース一覧,17,,/workspace,ワークスペース,,,Β版,ワークスペースカード（名前・メンバー数・最終更新日）、＋新規作成ボタン,チーム切替画面。ヘッダーからも到達可能。,2026年3月16日 2:06,,ko-kikuchi,,所属するすべてのワークスペースを一覧表示。クリックで対象ワークスペースに遷移。,page,ログイン後リダイレクト or /account,/workspace/[wsId]
ワークスペース削除,18,,—（/workspace 内）,ワークスペース,,,検討,警告メッセージ、削除ボタン、戻るリンク,Ownerのみ操作可能。削除条件: プロジェクトが空であること。,2026年3月14日 15:12,,ko-kikuchi,,ワークスペース削除確認画面。削除確定後、一覧へ戻る。=アカウント削除な気がするので検討,modal,/workspace/[wsId]/setting,/workspace
ワークスペース新規作成,19,,/workspace/new,ワークスペース,,,フェーズ１,ワークスペース名入力欄、Slack連携チェックボックス、作成ボタン,Slack連携は任意。プラン課金との統合も可能。,2026年3月14日 15:03,,ko-kikuchi,,新しいワークスペースを作成する。初期名・Slack連携設定を登録。,page,/workspace,/workspace/[wsId]
ワークスペースダッシュボード,20,,/workspace/[wsId],ワークスペース,"バックレビュー完了, 記載完了",,フェーズ１,プロジェクトリスト、環境ツリー、構築ボタン、リンク,Stranahの中核UI。Terraform構成を可視化。,2026年3月11日 21:51,,ko-kikuchi,,プロジェクトと環境のツリーを一覧表示し、構成図・環境詳細へ遷移。,page,/workspace,/project/[pjId] or /env/[envId]
ワークスペース設定,21,,/workspace/[wsId]/settings,ワークスペース,,,フェーズ１,ワークスペース名入力欄、Slack連携ボタン、保存ボタン、削除リンク,Ownerのみ編集可。削除リンクは下部に配置。,2026年3月16日 2:47,,ko-kikuchi,,ワークスペース名やSlack通知設定を編集。削除リンクを含む。,page,/workspace/[wsId],/workspace/[wsId]/member
メンバー管理,22,,/workspace/[wsId]/member,ワークスペース,,,Β版,メンバー一覧テーブル、＋招待ボタン、権限ドロップダウン、削除ボタン,招待・権限・削除はすべて同一画面内で完結。,2026年3月16日 2:07,,ko-kikuchi,,ワークスペースに所属するメンバー一覧を表示。招待・権限変更・削除を行う。,page,/workspace/[wsId]/setting,/workspace/[wsId]/member
